trial_id,study_title,standardised_condition,original_condition,country_codes,countries,centre,intervention,source_register,date_registration,date_enrollment,study_type,phase,randomization,placebo,masking,primary_purpose,endpoint_classification,intervention_model,primary_outcome,secondary_outcome,target_sample_size,inclusion_age_min,inclusion_age_max,inclusion_gender,pregnant_participants,inclusion_criteria,exclusion_criteria,primary_sponsor,results_ind,results_date_completed,results_date_posted,retrospective_flag,Year,sponsor_category,income_level,results_posted
RBR-973pt5n,"BENBRASIL TRIAL - PROSPECTIVE STUDY OF EFFICACY AND SAFETY OF BENZNIDAZOLE, WITH RANDOMIZED, DOUBLE-BLIND PHASE II STUDY OF BENZNIDAZOLE COMPARED TO NIFURTIMOX IN ADULTS WITH CHAGAS DISEASE IN CHRONIC INDETERMINATE OR MILD CARDIAC FORMS, IN BRAZIL - BENBRASIL BENZNIDAZOLE TO BRAZIL",Chagas Disease,Chagas&apos; disease (chronic) with heart involvement;C01.610.752.300.900.200,BRA,Brazil,Single Country,"This is an observational study with an aninated randomized clinical trial. With one arm where an experimental intervention will be carried out for the evaluation of the effectiveness and safety of Benznidazol (BNZ) in five different epidemiological and geographical contexts in Brazil, with the objective of representing the genetic heterogeneity of the parasite and the epidemiological diversity of the Chagas disease in the country the following locations: Manaus (AM), Recife (PE), Goiás (GO), Santa Maria (RS) and Montes Claros (MG). 75 participants from each locality will be recruited, who will receive BNZ at the standard dose (300mg a day for 8 weeks). The second arm of the study will run in parallel and correspond to a phase II, double-blind clinical trial, to be carried out only in Montes Claros (MG), where 150 participants will be randomized blindly and masked in a ratio of 1:1 with placebo for the use of BNZ (75 cases belonging to the control arm, analyzed concomitantly in the observational study) or Nifurtimox (NFX) 600mg/day for 8 weeks (experimental arm), both in the standard dose used for 8 weeks. The participants of both interventions (n=450) will be followed longitudinally for 12 months.",REBEC,2023-06-07,2023-08-01,INTERVENTIONAL,PHASE II TRIAL,,,,,,,Expected therapeutic efficacy assessed from the parasitological response defined as sustained elimination of the parasite in 10 months of follow-up after or treatment determined by serial qualitative PCR results,"The frequency of adverse events that lead to discontinuation of treatment is expected to be evaluated.;To compare the efficacy of Benznidazole based on the geographic origin of the participant versus Nifurtimox;To analyze the efficacy of treatment with Benznidazole at a dose of 300 mg/day for 8 weeks based on the genotyping of T. cruzi;To compare the safety of Benznidazole at a dose of 300 mg/day for 8 weeks in comparison with NFX at a dose of 600mg/day for 8 weeks without treatment of Chagas disease in the chronic phase in its indeterminate or mild cardiac forms;To assess parasitic kinetics by detecting parasitic DNA measured by qualitative PCR in peripheral blood at 4, 6, 8 and 12 months after the start of treatment in participants with chronic Chagas disease, in its indeterminate or mild cardiac forms treated with each um two or two therapeutic regimens;To measure longitudinal changes in the quality of life of two participants with Chagas disease in the chronic phase in its indeterminate or mild cardiac forms treated with each of two therapeutic regimens through two WHOQoL-BREF and EQ-5D-3 questionnaires",286.0,18Y,NO LIMIT,UNKNOWN,,inclusion criteria: both sexes; older than 18 years; having two positive serological tests for chagas disease; weight between 50 kg and 95 kg,"exclusion criteria: previous treatment with benznidazole or nifurtimox, pregnant women, breastfeeding or expressing gestational desire for the next 2 months; any concomitant use or documented history of use of allopurinol or antifungals ketoconazole, itraconazole and posaconazole; history of hypersensitivity, allergic or severe adverse reactions to any nitroimidazole compound and/or its components; liver disease with liver failure and kidney disease requiring supportive treatment; sinais and/or symptoms of the severe cardiac form of doença de chagas; history of cardiomyopathy, heart failure, or severe ventricular arrhythmia of any etiology; participation in another clinical trial in the last 12 months",INSTITUTO NACIONAL DE INFECTOLOGIA EVANDRO CHAGAS,No,01/12/2025,,YES,2023,Other,Upper middle,False
NCT05868005,DELIVERING AN INNOVATIVE MULTI-DISEASE SCREENING TOOL TO HIGH-RISK MIGRANT POPULATIONS,Chagas Disease|Schistosomiasis,Hiv;Hepatitis B;Hepatitis C;Tuberculosis;Chagas Disease;Schistosomiasis;Strongyloidiasis;Female Genital Mutilation Type I Status;Female Genital Mutilation Type II Status;Female Genital Mutilation Type III Status,ESP,Spain,Single Country,Other: Clinical decision support system for screening of migrants using the ISMiHealth software tool.,ClinicalTrials.gov,2023-04-17,,INTERVENTIONAL,NOT APPLICABLE,RANDOMIZED,,OPEN LABEL,SCREENING,,PARALLEL,"Comparison of the detection rate per month of all aggregated infections (HIV, HBV, HCV, TB, T.cruzi, S.stercoralis and Schistosoma spp. infections) between the intervention and control centres","Comparison of the detection rate per month of each individual condition, the infections and FGM cases, between the intervention and control centres;Comparison of the number of early HIV diagnoses;Comparison of the number of early HBV and HCV diagnoses;Comparison of the number of screening tests performed for all aggregated infections;Comparison of the the number of screening tests performed for each individual condition;Associations between the screening performance of all aggregated infections (yes/no) and patients' age (in years) will be analysed using the data collected from the EPR system;Associations between the screening performance of all aggregated infections (yes/no) and the time that patients have been registered in the Spanish National Health System (in years) will be analysed using the data collected from the EPR system;Associations between the screening performance of all aggregated infections (yes/no) and patients' sex (female/male) will be analysed using the data collected from the EPR system;Associations between the screening performance of all aggregated infections (yes/no) and patients' area of birth (Africa/Latin America/Asia/Eastern Europe) will be analysed using the data collected from the EPR system;Associations between the screening performance of all aggregated infections (yes/no) and the region where the PCC is located (Terres de l'Ebre/Lleida/Tarragona/Costa de Ponent) will be analysed using the data collected in the SISAP database;Associations between the screening performance of all aggregated infections (yes/no) and the type of region where the PCC is located in Catalonia, Spain (urban/rural) will be analysed using the data collected in the SISAP database;Associations between the screening performance of all aggregated infections (yes/no) and if the patient fulfilled the criteria of the screening recommendation (yes/no) will be analysed using the data collected from the EPR system;Associations between the screening performance of all aggregated infections (yes/no) and the arm of the study (Intervention/Control) will be analysed using the data collected from the EPR system;Associations between the screening performance of all aggregated infections (yes/no) and patients' immunosuppression status (yes/no) will be analysed using the data collected from the EPR system;Associations between the screening performance of all aggregated infections (yes/no) and the presence of another condition (yes/no) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and patients' age (in years) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and the time that patients have been registered in the Spanish Health System (in years) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and patients' sex (female/male) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and patients' area of birth (Africa/Latin America/Asia/Eastern Europe) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and the region where the PCC is located (Terres de l'Ebre/Lleida/Tarragona/Costa de Ponent) will be analysed using data collected in the SISAP database;Associations between the screening performance of each individual condition (yes/no), including FGM, and the type of region where the PCC is located in Catalonia, Spain (urban/rural) will be analysed using the data collected in the SISAP database;Associations between the screening performance each individual condition (yes/no), including FGM, and if the patient fulfilled the criteria of the screening recommendation (yes/no) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and the arm of the study (Intervention/Control) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and patients' immunosuppression status (yes/no) will be analysed using the data collected from the EPR system;Associations between the screening performance of each individual condition (yes/no), including FGM, and the presence of another condition (yes/no) will be analysed using the data collected from the EPR system;Associations between the screening performance of HIV (yes/no) and the CD4 cell count (cell/µL) will be analysed using the data collected from the EPR system;Associations between the screening performance of HIV (yes/no) and the viral load (copies/mL) will be analysed using the data collected from the EPR system;Associations between the screening performance of HBV and/or HCV (yes/no) and the levels of platelets (U/µL) will be analysed using the data collected from the EPR system;Associations between the screening performance of HBV and/or HCV (yes/no) and the levels of transaminases (U/L) will be analysed using the data collected from the EPR system;Associations between the screening performance of HBV and/or HCV (yes/no) and the levels of bilirubin (mg/dL) will be analysed using the data collected from the EPR system;Associations between the screening performance of HBV and/or HCV (yes/no) and the levels of clotting parameters [such as prothrombin (seconds), fibrinogen (mg/dL), among others] will be analysed using the data collected from the EPR system;Number of diagnosed individuals with follow-up visits in the hospital of reference;Number of diagnosed individuals under treatment",980.0,14Y,NO LIMIT,MALE AND FEMALE,,"i) pccs inclusion criteria: • centres with a migration density higher than 7%. ii) primary care professionals inclusion criteria: • aged >18 years old working at the selected pccs. iii) migrant populations inclusion criteria: - individuals assigned to a pcc. - patients attending the pccs for any reason. - aged >15 years old in the catalonian site. - aged >14 years old in the andalusian site. - coming from countries in the geographic areas of africa, latin-america, asia and eastern europe following the categorization of the un statistical commission.","exclusion criteria: - for the active tb recommendation, migrants residing in the host country for more than five years. - for fgm recommendation, being a male.",BARCELONA INSTITUTE FOR GLOBAL HEALTH,No,,,YES,2023,Non-profit,High,False
RBR-9b3mcsx,NURSING CARE BASED ON OREM'S THEORY OF SELF-CARE FOR PATIENTS WITH CHRONIC CHAGAS DISEASE,Chagas Disease,Chagas disease; Nursing Care;E05.599.645,BRA,Brazil,Single Country,"This is a single-blind, randomized, controlled clinical trial intervention study. Intervention group: 88 people with chronic Chagas Disease treated at the Chagas Disease Outpatient Clinic of the University of the State of Rio Grande do Norte, will be submitted to the assessment of their self-care capacity, at first, through the Scale to Assess the Capacity to Self-care, will be submitted to a nursing consultation with an approach following the precepts of Orem's Self-Care Theory guided by a guiding instrument that contains questions regarding sociodemographic data, identification of participants, life habits, clinical data, aspects for self-care, general physical examination data and nursing care planning; care plans will be drawn up for the participants of the intervention group individually, which will be presented to the participants; after one month, they will be submitted to a new evaluation with questions about the participants' evaluation of the results from the prescribed care and they will be submitted again to the evaluation of the Scale to Assess Self-Care Capacity. Control group: 88 people with chronic Chagas Disease treated at the Chagas Disease Outpatient Clinic of the University of the State of Rio Grande do Norte, will be submitted to an assessment of their self-care capacity, at first, through the Scale to Assess the Capacity to Self-care, will be submitted to a nursing consultation without Orem's Self-Care Theory approach; after one month they will be resubmitted to the assessment of the Scale to Assess Self-Care Capacity.;N04.452.758.377.875",REBEC,2022-08-23,2022-08-29,INTERVENTIONAL,NOT APPLICABLE,,,,,,,"Structure the Nursing Process from the main diagnoses and nursing interventions to be provided to people with Chronic Chagas Disease, focusing on self-care.",To identify the main diagnoses and nursing interventions defined for people with Chronic Chagas Disease in this research.,286.0,18Y,NO LIMIT,UNKNOWN,,inclusion criteria: people with chagas disease in the chronic form who are registered and treated at the chagas disease outpatient clinic; be over 18 years old,exclusion criteria: for some ethical or legal-legal reason they are unable to respond; those who do not have the physical conditions to participate in the research,FACULDADE DE CIÊNCIAS DA SAÚDE DA UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,No,28/02/2024,,YES,2022,Other,Upper middle,False
NCT05477953,"OBSERVATIONAL PREGNANCY SAFETY STUDY OF WOMEN EXPOSED TO NIFURTIMOX DURING PREGNANCY TO DESCRIBE THE RISK OF PREGNANCY AND MATERNAL COMPLICATIONS AND OTHER EVENTS OF INTEREST ON THE DEVELOPING FETUS, NEONATE, AND INFANT",Chagas Disease,Chagas Disease,ARG|USA,United States;Argentina;United States,Multi-Country,Drug: Nifurtimox (BAYA2502),ClinicalTrials.gov,2022-05-19,2022-08-17,OBSERVATIONAL,Unknown,,,,,,,Major Congenital Malformations (birth defects),Events of Interest in Neonates and Infants through 12 Months of Age: Hospitalizations for serious illness;Events of Interest in Neonates and Infants through 12 Months of Age: Medications;Events of Interest in Neonates and Infants through 12 Months of Age: Growth and development milestones;Events of Interest in Neonates and Infants through 12 Months of Age: Neonatal or infant mortality;Maternal Complications: Premature rupture of membranes (PROM);Maternal Complications: Preeclampsia;Maternal Complications: Severe pregnancy-induced hypertension (PIH);Maternal Complications: Proteinuria;Maternal Complications: Gestational diabetes;Maternal Complications: Measures of fetal growth deficiency (small for gestational age);Spontaneous abortion;Elective/Induced abortion;Fetal death/Still birth;Preterm delivery;Live Birth;Ectopic or Molar Pregnancy,50.0,,,FEMALE,INCLUDED,"inclusion criteria: - females exposed to at least 1 dose of nifurtimox at any time during pregnancy (i.e., from the first day of the last menstrual period / time of conception to pregnancy outcome). - written informed consent (for adolescents under the age of majority, written informed assent by the pregnant minor (where applicable) and written informed consent by the parent/legal guardian).",exclusion criteria: - none,BAYER,No,,,YES,2022,Other,Upper middle,False
RBR-5vg8p36,STUDY OF THE PHARMACOKINETIC PROFILE IN A MULTIPLE DOSE SCHEME FOR THE DRUG BENZNIDAZOLE IN PATIENTS WITH CHRONIC CHAGAS DISEASE INDETERMINATE FORM – RELATIONSHIP WITH DEMOGRAPHIC PROFILES AND ADVERSE EVENTS AND IMPLICATIONS FOR FUTURE TRIALS FOR COMBINATION THERAPY OF CHAGAS DISEASE,Chagas Disease,Chagas Disease,BRA,Brazil,Single Country,"Uncontrolled, unmasked single-center study with a single group.Patients with chronic CD in the indeterminate form regularly treated at the outpatient clinic of the Clinical Research Laboratory in Chagas Disease at the INI will be recruited in a non-random manner.Sample size: 46 participants.Intervention: Benznidazole, manufactured by LAFEPE, presented in tablets and with oral administration.All study participants will receive the usual treatment dose equivalent to 5 mg/kg/day, limited to 300 mg/day. Patients weighing more than 60 kilos will have the treatment extended until a number of days equivalent to their weight is reached, with a maximum value of 80 days.",REBEC,2021-11-08,2021-06-17,OBSERVATIONAL,Unknown,,,,,,,Determine the steady-state pharmacokinetics of benznidazol after 15 days of treatment in patients with chronic CD with indeterminate form.,"20% increase for Benznidazole pharmacokinetic parameters Cmax, T1/2 and AUC0-t, between age and sex profiles;To evaluate the correlation between the occurrence of adverse events and pharmacokinetic parameters in patients with chronic Chagas disease with indeterminate form treated with benznidazol for a period of 60 days",286.0,18Y,70Y,UNKNOWN,,"inclusion criteria: adult patients with chagas disease indeterminate form of both sexes, aged between 18 and 70 years old.","exclusion criteria: patients with a history of previous treatment with benznidazol (bz), contraindications or hypersensitivity to the use of bz, renal or hepatic failure, gastrointestinal disorders or other condition that interferes with the processes of absorption, distribution, excretion or metabolism of the drug, pulmonary, epileptic, hematological or psychiatric, pregnancy or lactation, associated heart disease such as moderate or severe orovalvular disease, ischemic, congenital or hypertensive heart disease, comorbidities such as malignant tumors and hiv infection, cognitive limitation that does not allow the correct understanding of the ic and the stages of the project, individuals participating in other investigations with interventions, using three or more medications of regular use within the 02 weeks prior to the start of the study treatment, except contraceptives (for women), omeprazole and simvastatin, or any eventual medication within 07 days before the start of study treatment, except dipyrone and paracetam ol, with a history of treatment within the 3 months prior to the study with any drug with known toxic potential in large organs. participants with a history of loss or donation of 450 ml or more of blood within the three months prior to the scheduled visit date will also be excluded.",FUNDAÇÃO OSWALDO CRUZ,No,01/12/2023,,NO,2021,Other,Upper middle,False
NCT04984265,NONINVASIVE CARDIAC RADIATION FOR ABLATION OF VENTRICULAR TACHYCARDIA IN CHAGAS DISEASE PATIENTS,Chagas Disease,Ventricular Tachycardia;Chagas Disease;Cardiac Arrhythmia,BRA,Brazil,Single Country,Radiation: Stereotactic Body Radiation Therapy,ClinicalTrials.gov,2021-07-21,2021-07-14,INTERVENTIONAL,PHASE I/II TRIAL,NOT APPLICABLE,,OPEN LABEL,TREATMENT,,SINGLE GROUP,Safety of SBRT for the treatment of Ventricular Tachycardia;Efficacy of SBRT for the treatment of Ventricular Tachycardia,Time to VT Recurrence;VT Burden;Mortality;Cardiac Mortality,10.0,18Y,NO LIMIT,MALE AND FEMALE,,"inclusion criteria: 1. diagnosis of chagas heart disease including positive serology 2. recurrent sustained ventricular tachycardia requiring therapy due to symptoms, icd shocks, or requiring hospitalization. 3. age>18 years. 4. able to give written, informed consent. if the patient requires continuous sedation/anesthesia for arrhythmia control consent can be provided by the next of kin. 5. medically fit to undergo radiation planning and treatment sessions. 6. failed antiarrhythmic medications due to vt recurrence, drug intolerance, or contraindication. 7. failed prior catheter ablation due to arrhythmia recurrence or ineligible for endocardial or epicardial catheter ablation (lv thrombus, epicardial adhesion, megacolon, prior open chest surgery)",exclusion criteria: 1. cardiogenic shock not due to vt with no possibility of heart transplant or ventricular assist device. 2. inability for patient to be adequately immobilized for radiation planning and treatment. 3. repeat catheter ablation is felt to be a reasonable option. 4. previous radiation to the chest. 5. pregnancy or refusal to use contraception.,UNIVERSITY OF SAO PAULO GENERAL HOSPITAL,No,,,YES,2021,Non-profit,Upper middle,False
ISRCTN26467068,PILOT PHASE II TRIAL TO OPTIMISE PHARMACOMETRIC ASSESSMENTS IN CHAGAS DISEASE,Chagas Disease,Chronic Chagas disease <br>Infections and Infestations <br>Chagas disease,BRA,Brazil,Single Country,"In the first stage, baseline parasitaemia will be quantitated twice weekly over the course of one month to characterize the natural variation in T. cruzi blood stage densities for individuals at a quasi steady-state.The second stage will consist of a randomised assignment to a sub-curative regimen followed by intensive pharmacokinetic and pharmacodynamic sampling to characterize drug exposure-parasite density relationships very precisely.The third stage will consist of weekly blood measurements of parasite density to monitor and quantify recrudescent parasitaemia and the new steady state density following the sub-curative regimen. After this the volunteer will receive definitive treatment.Participants eligible for stage 2 of the study will be randomised to a predicted sub-curative dose regimen of either benznidazole, nifurtimox or posaconazole. The randomisation will be in previously sealed envelopes. The exact dosing and number of doses will be adapted over the course of the study, but no single dose will be above the following thresholds defined for each drug:1. Benznidazole: maximum tolerated daily dose is 10 mg/kg2. Nifurtimox: maximum tolerated dose of 10 mg/kg3. Posaconazole: maximum tolerated dose of 15 mg/kg Sub-curative dosing: first 6 individuals:The starting sub-curative regimens for the first 6 enrolled individuals who complete stage 2 of the study will be:1. A single dose of benznidazole 100 mg2. A single dose of nifurtimox 120 mg3. A single dose of posaconazole 600 mg (a higher dose of posaconazole is necessary as it has weak anti-parasitic action, acting only on the tissue-stages). Sub-curative dosing: subsequent individuals:Subsequent individuals will be dosed according to a model-based approach that will use all previously accrued data",ISRCTN,2021-07-01,2023-11-01,INTERVENTIONAL,PHASE II TRIAL,RANDOMIZED,,,,PHARMACODYNAMIC,,Stage 1: Wavelength and amplitude of the temporal fluctuations in the blood-stage parasite density estimated from twice weekly blood-stage parasite densities taken over one monthStage 2: Parasite clearance half-life in blood using serial qPCR after sub-curative drug regimensStage 3: Assessment of tissue-stage load measured by time to recrudescent parasite density detectable by qPCR,1. Time to reach new steady-state parasite density measured using qPCR from the time of the dose with suboptimal treatment until up to 12 weeks2. Fold-change in parasite density between estimated baseline steady-state and recrudescent steady state,75.0,>18Y,<55Y,MALE AND FEMALE,,"inclusion criteria: 1. adult volunteers with chronic t. cruzi infection, a blood-stage parasite density of at least 2 parasite equivalents per ml, with or without end-organ involvement and:1.1. participant is willing and able to give informed consent for participation in the study.1.2. adult patients, male or female, aged over 18 years and less than 55 years.1.3. lives in the belo horizonte metropolitan area and can comply with study procedures.1.4. circulating parasitaemia greater or equal to 2 parasites equivalent per ml.","exclusion criteria: 1. has received prior treatment with benznidazole, nifurtimox or posaconazole (either completely or incompletely).2. history of hypersensitivity, allergic, or serious adverse reactions to any nitroimidazole compound, posaconazole and/or its components.3. inability to attend follow up visits on the stipulated dates.4. acute or chronic health problems that, in the opinion of the principal investigator, may interfere with study completion.5. alcohol or drug dependence.6. hiv infection or is immunocompromised.7. pregnant or breast feeding.8. patients taking any immunosuppressant drugs.9. qt prolongation (>450ms for males; >470ms for females).10. basic laboratory parameters outside the normal range or that are considered clinically relevant by the physician responsible for the patient.10.1. total white blood cell counts outside the normal range, as defined by an acceptable margin of +/- 5% (3,800 - 10,500 / mm3);10.2. transaminases (alt and ast) outside the normal range, as defined by 25% above the upper limit of normal (uln, > 1.25 x uln).11. therapy with drugs metabolized by cyp3a4, such as terfenadine, astemizole, pimozide, halofantrine or quinidine, and hmg-coa reductase inhibitors (simvastatin, lovastatin, and atorvastatin).12. patients receiving treatment with proton pump inhibitors or h2 receptor antagonists, phenytoin, efavirenz, and rifabutin, or who cannot discontinue it during the study period.13. patients receiving any drugs known to prolong the qt interval significantly.",UNIVERSITY OF OXFORD,No,01/12/2024,,YES,2021,Non-profit,Upper middle,False
NCT04984616,EFFECT OF STATINS (ATORVASTATIN) ON INFLAMMATION AND CARDIAC FUNCTION IN PATIENTS WITH CHRONIC CHAGAS DISEASE: PATHOPHYSIOLOGICAL STUDIES IN A MULTICENTER PROOF-OF-CONCEPT,Chagas Disease,Chronic Chagas Disease,CHL,Chile,Single Country,Drug: 40 mg Atorvastatin/day for 120 days P.O.;Drug: Atorvastatin 80;Drug: Placebo,ClinicalTrials.gov,2021-06-29,2021-10-12,INTERVENTIONAL,PHASE II TRIAL,RANDOMIZED,,MASKING: BLINDED|DOUBLE,TREATMENT,,PARALLEL,Number of patients that present a change in the phase of the chronic cardiomyopathy,plasma levels of cytokines (pg/mL);Plasma levels of endothelial adhesion molecules (pg/mL);Proportion of patients with change in heart rate measured by electrocardiographic examination;Proportion of patients with changes in the QT interval duration (milliseconds);Proportion of patients with abnormalities in ventricular electrical conduction determined by the duration of the QRS interval (milliseconds);Proportion of patients with alterations in ventricular function as measured by changes in the ejection fraction percentage estimated by echocardiography;Plasma levels of Cardiac function biomarkers (pg/mL);Parasite load in a blood sample (number of parasites/mL);Incidence of severe adverse events,300.0,18Y,50Y,MALE AND FEMALE,,"inclusion criteria: - adults older than 18 and younger than 50 years, - with a weight higher than 40 kg - positive conventional confirmatory serology for t. cruzi infection from the national public health institute (ispch), and - a positive qpcr - have normal laboratory test values for the following parameters: total white blood cell count, platelet count, creatine kinase (ck), alanine aminotransferase (alt), aspartate aminotransferase (ast), total bilirubin or creatinine, or a gamma-glutamyl transferase (ggt) > 2 times the upper limit of normal (x uln); - women of reproductive age must have a negative serum pregnancy test, must not be breastfeeding, and must consistently use a highly effective contraceptive method throughout the treatment phase - ability to comply with all protocol-specified follow-up tests and visits and have a permanent address; - signed written informed consent form","exclusion criteria: - signs and symptoms of the digestive form of chagas disease; - chronic cardiac chagas disease stage ii or higher; - acute or chronic health conditions such as acute infections, history of hiv infection, diabetes, liver and kidney disease; - hypothyroidism - family history of muscle disorders - pre-existing heart disease unrelated to chagas disease; - formal contraindication to receive nifurtimox or benznidazole, - known history of hypersensitivity, allergy or severe adverse reactions to atorvastatin, benznidazole or nifurtimox; - history of previous treatment for chagas disease; - history of prior treatment with atorvastatin, lovastatin, rosuvastatin, simvastatin or any other statin; - any concomitant use of antimicrobial agents; - history of alcohol or drug abuse; - any condition that precludes oral medication; - concomitant or intended use of cyp3a4 modifiers; - medical history of familial short qt syndrome or concomitant therapy with medications that may shorten the qt interval. - abnormal laboratory test values for the following parameters: total white blood cell count, platelet count, creatine kinase (ck), alanine aminotransferase (alt), aspartate aminotransferase (ast), total bilirubin or creatinine, or a gamma-glutamyl transferase (ggt) > 2 times the upper limit of normal (x uln); - being pregnant or breastfeeding - refusing to use a highly effective contraceptive method during the treatment phase.",JUAN D. MAYA,No,,,YES,2021,Other,High,False
NCT04897516,A PHASE III NON-INFERIORITY STUDY TO CONFIRM THE EFFICACY AND SAFETY OF A NEW BENZNIDAZOLE REGIMEN COMPARED TO HISTORICAL CONTROL TO TREAT ADULT PATIENTS IN THE CHRONIC PHASE OF CHAGAS DISEASE WITHOUT EVIDENCE OF PATHOLOGY,Chagas Disease,Chagas Disease,ARG,Argentina,Single Country,Drug: Short regimen of benznidazole;Drug: Standard treatment with benznidazole,ClinicalTrials.gov,2021-05-18,2021-07-28,INTERVENTIONAL,PHASE III TRIAL,NON-RANDOMIZED,,OPEN LABEL,TREATMENT,,PARALLEL,Proportion of patients with sustained negativation of parasitemia according to the results of qualitative PCR tests,"Proportion of patients with negative parasitemia at 6 and 12 months follow-up form the beginning of treatment;Incidence and severity of adverse events;Incidence of SAEs, Adverse Events of Special Interest (AESIs) and/or adverse events that cause treatment interruption.",362.0,18Y,60Y,MALE AND FEMALE,,"screening criteria: - signed informed consent form. - between =18 and =60 years of age. - diagnosis of t. cruzi infection by conventional serology (a minimum of two positive tests). - ability to comply with all exams and specific protocol visits. having a permanent address. - not presenting signs or symptoms of chronic cardiac and/or digestive forms of chagas disease, defined according to national guidelines. - no prior history of mental disorders or suicidal tendencies. - not suffering from acute or chronic illnesses that, in the investigator's discretion, may interfere with the evaluation of the efficacy or safety of the investigational product (such as acute infections, a history of hiv infection, or liver or kidney diseases that have required treatment). - not having received a formal indication not to take bzn (contraindication, according to the summary of product characteristics - smpc). contraindications to bzn basically include hypersensitivity to the active substance and its excipients. according to the smpc for bzn, subjects will be advised not to drink alcoholic beverages during treatment. - no prior history of hypersensitivity, allergy, or serious adverse reactions to any of the nitroimidazole compounds and/or its components. - have not previously undergone antiparasitic treatment for chagas disease. - no prior history of drug abuse or alcoholism. - not suffering from any disease that prevents subjects from consuming oral medication. inclusion criteria: after the screening period, subjects must meet all the inclusion criteria detailed below for recruitment: confirmation of the diagnosis of t. cruzi infection by: serial qualitative pcr (three samples collected on the same day, at least one of which must be positive) and conventional serology (a minimum of two tests must be reactive). - women of childbearing potential must have a negative pregnancy result at the time of inclusion, must not be breast-feeding, and must use a highly effective method of contraception until completion of the trial. - normal ecg (heart rate: 50 -100 bpm; interval duration: pr = 200 msec, qrs =120 msec, and qtc = 350 msec and = 450 msec) at screening. - normal echocardiogram (left ventricular diastolic diameter (lvdd) microaneurysm or tip aneurysm, hypo or generalized akinesia, systolic dysfunction (low fractional shortening and ejection fraction), and/or mural thrombus). - normal chest x-ray (cardiac silhouette with index","exclusion criteria: the presence of any of the items below will exclude subjects from inclusion in the study: - patient pregnant or intending to become pregnant during treatment and within 30 days of the last dose of study treatment. - signs or symptoms of the chronic cardiac and/or digestive form of chagas disease, defined according to national guidelines. - history of cardiomyopathy, heart failure, or ventricular arrhythmia. - history of digestive surgery or mega syndromes. - acute or chronic disease that, in the investigator's discretion, may interfere with the evaluation of the efficacy or safety of the investigational product (such as acute infection, history of hiv infection, or liver or kidney disease that has required treatment). - laboratory test values that are considered clinically significant or outside the allowable values, per ctcae version 5.0 grade 1. - disease that prevents subjects from consuming oral medication. - subjects with a contraindication (known hypersensitivity) to any of the nitroimidazole compounds, e.g. metronidazole. - subjects with a history of allergy (serious or not), allergic rash, asthma, intolerance, sensitivity or photosensitivity to any drug. - concomitant use and/or consumption of allopurinol, antimicrobial and antiparasitic agents, herbal medicines, dietary supplements and energy drinks. - scheduled surgery that may interfere with the conduct of the trial and/or with the treatment evaluation. - inability to attend study visits, comply with treatment, and cooperate with study procedures. - previous participation in a trial for the evaluation of the treatment of chagas disease. - simultaneous participation in another trial or within 3 months prior to screening for this trial (in accordance with national regulations). - serious medical or psychiatric illness that increases the risk associated with study participation or that interferes with the interpretation of study results",LABORATORIO ELEA PHOENIX S.A,No,,,YES,2021,Other,Upper middle,False
DRKS00020935,"T. CRUZI-INDUCED BETA-ADRENERGIC AND MUSCARINIC AUTO-ANTIBODIES, AND SELENIUM NUTRITIONAL STATUS IN PATIENTS WITH CHAGAS DISEASE - AUTOS-CHAGAS",Chagas Disease,<br>B57;Chagas disease,BOL,Bolivia,Single Country,"Group 1: Patients with evidence of infection with T. cruzi.After obtaining informed consent, patients will be asked to donate 20ml of additional blood in the context of a clinically indicated venipuncture. Clinical data with relevance to manifestations of chagas disease and available examination results will be reviewed, stored and analysed. The study has only one visit and ends for the patient after the procedures described.",German Clinical Trials Register,2020-02-27,2023-06-15,OBSERVATIONAL,Unknown,,,,,,,Clinical validation of a new test for autoantibodies in chronic chagas disease,"Correlation of autoantibodies with manifestations of chronic chagas disease, selenium status of patients with chronic chagas disease",300.0,18Y,65Y,MALE AND FEMALE,,"inclusion criteria: • positive serology for infection with t. cruzi according to who standard (except for healthy controls) • written informed consent according to ich-gcp standard procedures • minimum age 18 years • maximum age 65 years • patient meets criteria for at least one of the five clinical categories (ind, cad, gid, cgd, hec)*","exclusion criteria: • known active or chronic infections other than t. cruzi infection • known hiv-infection • history of, or current autoimmune disease • medical history of any cardiac or gastrointestinal disease unrelated to chagas disease • immunosuppression by medication or other diseases • intake of micronutrient supplementation • diabetes mellitus",CHARITÉ CAMPUS CHARITÉ MITTE,No,,,YES,2020,Other,Upper middle,False
