country,count
Brazil,54
India,36
Argentina,28
Kenya,18
Tanzania,18
Ethiopia,15
Côte d'Ivoire,15
Uganda,14
Spain,14
United States,13
Bangladesh,13
Sudan,11
China,11
Bolivia,10
Colombia,10
Senegal,9
Netherlands,7
United Kingdom,7
Laos,5
Switzerland,5
Philippines,5
Cambodia,5
Vietnam,4
Mexico,4
Nepal,4
Germany,4
France,4
Zimbabwe,3
Burkina Faso,3
Madagascar,3
Indonesia,3
Zambia,3
Egypt,3
Ghana,3
Gabon,3
Chile,3
Mozambique,2
Thailand,2
Canada,2
Ecuador,2
Timor-Leste,2
Fiji,2
Sri Lanka,2
Guatemala,2
Belgium,2
Guinea-Bissau,1
Malawi,1
Solomon Islands,1
Rwanda,1
Haiti,1
Niger,1
Peru,1
Venezuela,1
Liberia,1
Australia,1
DR Congo,1
Honduras,1
Cameroon,1
South Africa,1
Mali,1
El Salvador,1
Mauritania,1
