trial_id,study_title,standardised_condition,original_condition,country_codes,countries,centre,intervention,source_register,date_registration,date_enrollment,study_type,phase,randomization,placebo,masking,primary_purpose,endpoint_classification,intervention_model,primary_outcome,secondary_outcome,target_sample_size,inclusion_age_min,inclusion_age_max,inclusion_gender,pregnant_participants,inclusion_criteria,exclusion_criteria,primary_sponsor,results_ind,results_date_completed,results_date_posted,retrospective_flag,Year,sponsor_category,income_level,results_posted
NCT05477953,"OBSERVATIONAL PREGNANCY SAFETY STUDY OF WOMEN EXPOSED TO NIFURTIMOX DURING PREGNANCY TO DESCRIBE THE RISK OF PREGNANCY AND MATERNAL COMPLICATIONS AND OTHER EVENTS OF INTEREST ON THE DEVELOPING FETUS, NEONATE, AND INFANT",Chagas Disease,Chagas Disease,ARG|USA,United States;Argentina;United States,Multi-Country,Drug: Nifurtimox (BAYA2502),ClinicalTrials.gov,2022-05-19,2022-08-17,OBSERVATIONAL,Unknown,,,,,,,Major Congenital Malformations (birth defects),Events of Interest in Neonates and Infants through 12 Months of Age: Hospitalizations for serious illness;Events of Interest in Neonates and Infants through 12 Months of Age: Medications;Events of Interest in Neonates and Infants through 12 Months of Age: Growth and development milestones;Events of Interest in Neonates and Infants through 12 Months of Age: Neonatal or infant mortality;Maternal Complications: Premature rupture of membranes (PROM);Maternal Complications: Preeclampsia;Maternal Complications: Severe pregnancy-induced hypertension (PIH);Maternal Complications: Proteinuria;Maternal Complications: Gestational diabetes;Maternal Complications: Measures of fetal growth deficiency (small for gestational age);Spontaneous abortion;Elective/Induced abortion;Fetal death/Still birth;Preterm delivery;Live Birth;Ectopic or Molar Pregnancy,50.0,,,FEMALE,INCLUDED,"inclusion criteria: - females exposed to at least 1 dose of nifurtimox at any time during pregnancy (i.e., from the first day of the last menstrual period / time of conception to pregnancy outcome). - written informed consent (for adolescents under the age of majority, written informed assent by the pregnant minor (where applicable) and written informed consent by the parent/legal guardian).",exclusion criteria: - none,BAYER,No,,,YES,2022,Other,Upper middle,False
NCT05372068,CEMENT FLOORS AND CHILD HEALTH (CRADLE): A RANDOMIZED TRIAL IN RURAL BANGLADESH,Soil-Transmitted Helminthiases,Ascaris Lumbricoides Infection;Necator Americanus Infection;Trichuris Trichiura; Infection;Diarrhea,BGD,Bangladesh,Single Country,Other: Concrete household floor,ClinicalTrials.gov,2022-05-06,,INTERVENTIONAL,NOT APPLICABLE,RANDOMIZED,,MASKING: BLINDED|SINGLE,PREVENTION,PREVENTION,PARALLEL,Child prevalence of any soil-transmitted helminth infection,Child Ascaris lumbricoides infection prevalence;Child Necator americanus infection prevalence;Child Trichuris trichiura infection prevalence;Child diarrhea prevalence;Child prevalence of other enteric pathogen carriage;Child development;Child length-for-age Z-score;Child weight-for-length Z-score;Child weight-for-age Z-score;Maternal satisfaction with quality of life;Maternal stress;Maternal depression;Maternal non-verbal reasoning;Maternal visual-spatial working memory;Maternal daily discretionary time;Ascaris lumbricoides prevalence in household floor samples;Necator americanus in household floor samples;Trichuris trichiura prevalence in household floor samples;Any soil-transmitted helminth prevalence in household floor samples;Culturable E. coli prevalence in household floor samples;Culturable E. coli prevalence and abundance in child hand rinse samples;Enteric pathogen carriage in household floor samples;Frequency of child soil contact;Frequency of child soil ingestion,800.0,,,MALE AND FEMALE,INCLUDED,"inclusion criteria: - residence in chauhali upazila, sirajganj district in bangladesh - no plan to relocate in the next 2-3 years - reside in home with floors made entirely of soil - pregnant woman 13-30 weeks gestation resides in the home at the time of enrollment","exclusion criteria: - home is not strictly residential (e.g., includes a business) - household with walls made of mud/soil - household floor size > 500 square feet",STANFORD UNIVERSITY,No,,,YES,2022,Non-profit,Lower middle,False
ISRCTN17656730,"REPEATED CROSS-SECTIONAL SURVEYS FOR MONITORING UROGENITAL SCHISTOSOMIASIS IN PRE-SCHOOL, SCHOOL-AGED CHILDREN, ADOLESCENTS AND ADULTS IN ZANZIBAR (UNGUJA AND PEMBA ISLANDS)",Schistosomiasis,"Schistosoma haematobium infections (urogenital schistosomiasis) <br>Infections and Infestations <br>Schistosoma haematobium, urogenital schistosomiasis, bilharziasis",TZA,Tanzania,Single Country,"The S. haematobium prevalence will be determined annually (2018, 2019, 2020, 2021) in cross-sectional surveys conducted in schools and communities of the study area. Mass drug administration with praziquantel (40 mg/kg) is carried out as part of the routine interventions of the Neglected Tropical Diseases Programme (NTD) of the Zanzibar Ministry of Health at least once per year. In community-based treatment, trained drug distributors use a door-to-door approach to provide praziquantel to all community members aged >3 years that did not receive praziquantel in the same treatment round via school-based treatment, and are not severely sick. In school-based treatment, trained teachers provide directly-observed praziquantel treatment to the children attending school on the day of treatment. Community drug distributors and teachers are supervised by the staff of the NTD Programme.",ISRCTN,2020-07-27,2018-02-15,OBSERVATIONAL,NOT APPLICABLE,,,,,,,"Current primary outcome measure as of 27/07/2020: Number of S. haematobium infected individuals detected by the urine filtration method (detecting S. haematobium eggs in 10 ml urine) and reagent strip method (Hemastix; detecting microhaematuria in urine) applied on a single urine sample per participant in each annual cross-sectional survey in 2018, 2019, 2020, and 2021 Previous primary outcome measure: Number of S. haematobium infected individuals detected by the urine filtration method (detecting S. haematobium eggs in 10 ml urine) and reagent strip method (Hemastix; detecting microhaematuria in urine) applied on a single urine sample per participant in each cross-sectional survey at 0, 1, 2, and 3 years","Current secondary outcome measures as of 27/07/2020: 1. Impact of mass drug administration (MDA) with praziquantel (40 mg/kg) over time measured in 2018, 2019, 2020, and 2021 during the annual cross-sectional school-based and community-based surveys using: 1.1. S. haematobium prevalence measured by urine filtration (S. haematobium egg absence/presence in 10 ml urine) and measured by reagent strips to assess microhaematuria absence/presence 1.2. S. haematobium infection intensity measured by urine filtration (S. haematobium egg counts in 10 ml urine) 2. Age-prevalence distribution by age and stratified by sex, measured by urine filtration and reagent strips, sex and age will be recorded on enrolment and in 2018, 2019, 2020, and 2021 during the annual cross-sectional school-based and community-based surveys 3. Treatment coverage and compliance of MDA with praziquantel (40 mg/kg) preceding the cross-sectional survey, determined with questionnaires in annual cross-sectional surveys (coverage is defined as the percentage of those queried receiving praziquantel tablets during MDA, and compliance is defined as the percentage of those queried swallowing praziquantel tablets in the dose supplied during MDA) in 2018, 2019, 2020, and 2021 4. Risk factors for S. haematobium infection determined with questionnaires (query the use of natural open freshwater bodies for washing, bathing and household chores, travel, location of residence and demographic factors) during annual cross-sectional surveys in 2018, 2019, 2020, and 2021 Previous secondary outcome measures: 1. Impact of mass drug administration (MDA) with praziquantel (40 mg/kg) over time measured at 0, 1, 2 and 3 years during the annual cross-sectional school-based and community-based surveys using: 1.1. S. haematobium prevalence measured by urine filtration (S. haematobium egg absence/presence in 10 ml urine) and measured by reagent strips to assess microhaematuria absence/presence 1.2. S. haematobium infection intensity measured by urine filtration (S. haematobium egg counts in 10 ml urine) 2. Age-prevalence distribution by age and stratified by sex, measured by urine filtration and reagent strips, sex and age will be recorded on enrolment and at 0, 1, 2 and 3 years during the annual cross-sectional school-based and community-based surveys 3. Treatment coverage and compliance of MDA with praziquantel (40 mg/kg) preceding the cross-sectional survey, determined with questionnaires in annual cross-sectional surveys (coverage is defined as the percentage of those queried receiving praziquantel tablets during MDA, and compliance is defined as the percentage of those queried swallowing praziquantel tablets in the dose supplied during MDA) at 0, 1, 2 and 3 years 4. Risk factors for S. haematobium infection determined with questionnaires (query the use of natural open freshwater bodies for washing, bathing and household chores, travel, location of residence and demographic factors) during annual cross-sectional surveys at 0, 1, 2 and 3 years",26970.0,5Y,NO LIMIT,MALE AND FEMALE,INCLUDED,"inclusion criteria: 1. children attending the selected nurseries and schools 2. adolescents or adults aged =13 years from the selected shehias, including pregnant women, only one adolescent and/or adult per household eligible 3. submitted informed consent form (icf) signed by a parent or legal guardian in case of participating children and adolescents, or signed by the participant in case of participating adults 4. able to provide one urine sample with sufficient volume to perform diagnostic tests",exclusion criteria: does not meet inclusion criteria,SWISS TROPICAL AND PUBLIC HEALTH INSTITUTE,No,31/12/2022,,NO,2020,Non-profit,Low,False
NCT03779347,"PROSPECTIVE, OBSERVATIONAL STUDY TO ASSESS THE PERFORMANCE OF CAA MEASUREMENT AS A DIAGNOSTIC TOOL FOR THE DETECTION OF SCHISTOSOMA HAEMATOBIUM INFECTIONS IN PREGNANT WOMEN AND THEIR NEWBORN AND CHILD IN LAMBARÉNÉ, GABON",Schistosomiasis,Schistosomiasis Hematobium;Diagnostic;Drug Reaction;Pregnancy,GAB,Gabon,Single Country,Drug: Praziquantel;Diagnostic Test: UCP-LF CAA;Diagnostic Test: composite diagnostic,ClinicalTrials.gov,2018-12-08,2019-05-01,INTERVENTIONAL,PHASE III TRIAL,RANDOMIZED,,MASKING: BLINDED|DOUBLE,DIAGNOSTIC,,FACTORIAL,UPC-LF CAA performance;Egg reduction rate;CAA reduction rate;Prevalence of S. hematobium in children using UCP-LF CAA;Prevalence of S. hematobium in children using microscopy,Clinical safety assessment upon PZQ intake;Efficacy rate using microscopy;Efficacy rate using UCP-LF CAA test,100.0,,,FEMALE,INCLUDED,inclusion criteria: - pregnant women with a gestational age comprised between 16 and 30 weeks (based on last date of menses) - willing to deliver in one of the four maternities: three in lambaréné and one in fougamou - provide a written informed consent for both themselves and for newborn follow-up or the written informed consent by the legal guardian if pregnant woman is a minor,exclusion criteria: - - willing to move out of the study area within the coming 24 months - known having a medically confirmed complicated pregnancy a complicated pregnancy.,CENTRE DE RECHERCHE MÉDICALE DE LAMBARÉNÉ,No,,,YES,2018,Other,Upper middle,False
NCT03158298,ASSOCIATION OF SCHISTOSOMIASIS SEROPOSITIVITY WITH ADVERSE BIRTH EVENTS IN MIGRANTS FROM BILHARZIA-ENDEMIC AREAS,Schistosomiasis,Schistosomiasis,DEU,Germany,Single Country,Other: Specimen collection,ClinicalTrials.gov,2017-05-16,2017-06-01,OBSERVATIONAL,Unknown,,,,,,,Schistosoma Serology,Birth Weight;Preterm Birth;Intrauterine Growth Restriction;Stillbirth,82.0,18Y,NO LIMIT,FEMALE,INCLUDED,inclusion criteria: - pregnancy - immigration from a country/geographic area with declared endemic schistosomiasis according to world health organization criteria - signed informed consent,exclusion criteria: - placenta pathology of any cause - any medical condition affecting fetal growth,JENA UNIVERSITY HOSPITAL,YES,,14/04/2022,YES,2017,Non-profit,High,True
ACTRN12614000680662,"A CLUSTER RANDOMISED CONTROLLED TRIAL COMPARING THE IMPACT OF A WATER, SANITATION AND HYGIENE (WASH) INTERVENTION INTEGRATED WITH ALBENDAZOLE DISTRIBUTION VERSUS ALBENDAZOLE DISTRIBUTION ALONE, ON REINFECTION WITH INTESTINAL PARASITES IN RURAL COMMUNITIES IN TIMOR-LESTE",Soil-Transmitted Helminthiases,"Soil transmitted helminths – Trichuris trichiura, Ascaris lumbricoides, hookworms (Necator americanus and Ancylostoma duodenale);Intestinal protozoa (Giardia duodenalis, Entamoeba histolytica, Strongyloides sp., Cryptosporidium sp.);Anaemia;Stunting;Wasting; <br>Soil transmitted helminths – Trichuris trichiura, Ascaris lumbricoides, hookworms (Necator americanus and Ancylostoma duodenale) <br>Intestinal protozoa (Giardia duodenalis, Entamoeba histolytica, Strongyloides sp., Cryptosporidium sp.) <br>Anaemia <br>Stunting <br>Wasting;Public Health - Epidemiology;Infection - Studies of infection and infectious agents",TLS,Timor-Leste,Single Country,"The intervention to be evaluated in this proposal will involve provision of access to improved water and sanitation and improving related hygiene practices, which will be supported by WaterAid, Australia (WA). The sanitation component is based on the Community Led Total Sanitation approach with WA giving technical support to the construction of latrines. Furthermore, WA staff will lead the construction of piped water from springs/streams to storage tanks/tapstands in villages; and local partner NGOs will promote hand washing with soap. The hygiene intervention will be based on 2-3 visits to each village shortly after the triggering takes place, to promote hand washing with soap using several methods including a hygiene promotion film, establishing a children group and developing a hygiene promotion drama, and a female group. Monitoring visits will happen monthly until the completion of the water intervention and every 6 months for 2 years after the water infrastructure is completed.All communities (control and intervention arm) will receive mass chemotherapy with one oral tablet of albendazole 400mg every six months for 2 years, starting when 80% of the households have sanitation. Albendazole intake will be directly observed by the field workers delivering the pills who will be working under the supervision of a registered nurse.Questionnaires including questions on access to water, sanitation and hygiene practices will be used to monitor the progression of the implementation of the integration; and will be part of field work at each 6 monthly visit.",ANZCTR,2014-06-27,2012-05-28,INTERVENTIONAL,NOT APPLICABLE,RANDOMIZED,,OPEN LABEL,,EFFICACY,PARALLEL,"Reduction in prevalence of infection with A. lumbricoides. Infection status will be assessed by real time PCR on a stool sample obtained at each visit.[Each six-monthly follow-up (Follow-up (FU) 1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st albendazole (ALB) distribution). ];Reduction in prevalence of infection with T. trichiura. Infection status will be assessed by real time PCR on a stool sample obtained at each visit.[Each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ];Reduction in prevalence of infection with hookworms (undifferentiated)Infection status will be assessed by real time PCR on a stool sample obtained at each visit.[Each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ]","Reduction in prevalence of G. duodenalis. Infection status will be assessed by real time PCR on a stool sample obtained at each visit.[At each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ];Reduction in prevalence of E. histolytica. Infection status will be assessed by real time PCR on a stool sample obtained at each visit.[At each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ];Changes in the ratio of numbers of people infected with the hookworms A. duodenalis, N. Americanus and A. ceylanicum. Species differentiation will be done by real time PCR on a stool sample obtained at each visit[At each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ];Changes in mean haemoglobin concentration (measured with a portable analyser).[At baseline and at the annual follow-ups (FU2=1 year after 1st ALB distribution and FU4=2 years after 1st ALB distribution)];Changes in height-for-age z-scores[At baseline and at the annual follow-ups (FU2=1 year after 1st ALB distribution and FU4=2 years after 1st ALB distribution)];Changes in weight-for-age z-score [At baseline and at the annual follow-ups (FU2=1 year after 1st ALB distribution and FU4=2 years after 1st ALB distribution)];Changes in height-for-weight z-scores.[At baseline and at the annual follow-ups (FU2=1 year after 1st ALB distribution and FU4=2 years after 1st ALB distribution)];Reductions in the mean intensity of infection (calculated as the average number of eggs per gram of faeces) of A. lumbricoides. Intensity of infection assessed by real-time quantitative PCR.[At each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ];Reductions in the mean intensity of infection (calculated as the average number of eggs per gram of faeces) of T. trichiura . Intensity of infection assessed by real-time quantitative PCR[At each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ];Reductions in the mean intensity of infection (calculated as the average number of eggs per gram of faeces) of hookworms (undifferentiated) . Intensity of infection assessed by real-time quantitative PCR[At each six-monthly follow-up (FU1=6 months after 1st alb distribution), FU2, FU3, FU4=2yrs after 1st ALB distribution). ]",2880.0,1Y,NO LIMIT,MALE AND FEMALE,INCLUDED,inclusion criteria: resident of each selected community informed consent obtained over 1 year of age not in the 1st trimester of pregnancy,exclusion criteria: not a resident of the community no informed consent outside of the specified age range pregnant in the 1st trimester,ARCHIE CLEMENTS,No,,,NO,2014,Other,Lower middle,False
ISRCTN48837681,STUDY AND IMPLEMENTATION OF UROGENITAL SCHISTOSOMIASIS ELIMINATION IN ZANZIBAR (UNGUJA AND PEMBA ISLANDS) USING AN INTEGRATED MULTIDISCIPLINARY APPROACH,Schistosomiasis,Schistosoma haematobium infections <br>Infections and Infestations <br>Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis],CHE|TZA|GBR,Switzerland;Tanzania;United Kingdom;England,Multi-Country,"The study will be implemented in 45 shehias in both Unguja and Pemba. Among the 45 shehias on each island 15 were randomly assigned to one of the following three intervention arms: 1. Treatment per the National Plan of the Zanzibar Ministry of Health (twice yearly preventive chemotherapy with praziquantel, including social mobilization and education) 2. Treatment per the National Plan plus snail control 3. Treatment per the National Plan plus intensive behaviour change interventions",ISRCTN,2012-09-05,2011-11-01,INTERVENTIONAL,NOT APPLICABLE,RANDOMIZED,,,,,,Current primary outcome measure as of 25/03/2019: S. haematobium infection prevalence and intensity based on urine filtration results in 9- to 12-year-old children after five years of follow-up (i.e. at the 5-year endline survey in 2017) Previous primary outcome measure: Elimination of urogenital schistosomiasis in Unguja and reduction of the S. haematobium prevalence,"1. Prevalence and intensity of S. haematobium infections in 9-12-year-old schoolchildren and antibody levels against S. haematobium in first-year students, hence judging current infection status and history of exposure, and prevalence and intensity of S. haematobium infections in adults and first-year students 2. Impact of niclosamide on snail populations, schistosome transmission and reinfection of the Zanzibari population 3. Changes in the behaviour of the human population associated with parasite transmission 4. Sensitivity and specificity of novel diagnostic methods",72000.0,9Y,12Y,MALE AND FEMALE,INCLUDED,"inclusion criteria: 1. schoolchildren, either male or female, aged 9-12 years, attending the selected schools (in each study year) 2. first-year students, either male or female, attending the selected schools (in years 1 and 5) 3. adults aged 20-55 years from the selected communities (shehias), only one adult per household, pregnant women are eligible (in years 1 and 5) 4. submitted written informed consent sheet signed by parent or legal guardian in case of participating children or signed by the participant in case of participating adults 5. oral assent from participant given 6. one urine sample provided (from 9-12-year old children in each study year; from first-year students and adults in years 1 and 5) 7. one blood sample obtained (from first-year students in years 1 and 5)","exclusion criteria: 1. children not attending the selected schools 2. children not aged 9-12 years (in years 2, 3, and 4) 3. children not aged 9-12 years or being first-year students (in years 1 and 5) 4. adults not resident in the selected shehias 5. adults aged 55 years (in years 1 and 5) 6. written informed consent not submitted or not signed by parent or legal guardian in case of participating children or not signed by the participant in case of participating adults 7. no oral assent given 8. no urine sample provided (for 9-12-year old children in each study year; for first-year students and adults in years 1 and 5) 9. no blood sample obtained (from first-year students in years 1 and 5)",NATURAL HISTORY MUSEUM (UK),No,31/12/2017,,NO,2012,Other,High,False
NCT01288872,PRAZIQUANTEL PHARMACOKINETICS IN PREGNANCY AND DURING LACTATION,Schistosomiasis,Schistosomiasis,PHL,Philippines,Single Country,Drug: Praziquantel,ClinicalTrials.gov,2011-01-28,,INTERVENTIONAL,PHASE I TRIAL,NON-RANDOMIZED,,OPEN LABEL,TREATMENT,,SINGLE GROUP,"Comparison of PZQ and 4-hydroxy PZQ PK parameters in pregnant and nonpregnant lactating subjects, central tendency and distribution (Cmax, Tmax, t ½, AUC, CL/F and Vd/F).;Early Pregnancy Cohort only: Assessed for the presence of pre-eclampsia.;Pregnant women only: newborn congenital anomalies. The number of infants with congenital anomalies;Early Pregnancy Cohort only: number of subjects experiencing a spontaneous abortion and number of stillbirths reported after drug administration; and live birth rate among pregnant subjects.;Toxicity to maternal bone marrow, kidney, and liver will be assessed by measurement of complete blood count, blood urea nitrogen (BUN) and creatinine, and liver function tests (AST, ALT, and bilirubin).;Subjects will be observed in hospital for adverse events/serious adverse events (AE/SAEs).",,47.0,18Y,99Y,FEMALE,INCLUDED,"inclusion criteria: screening: - woman must be age 18 or over. - present to a study midwife or health center. - live in a study village. inclusion criteria for the study are as follows: - infected with schistosomiasis (s.) japonicum. - age 18 or older. - participant is otherwise healthy as determined by history, physical exam, ultrasound (if pregnant) and laboratory assessment, with the exception of laboratory values cited in exclusion criteria. - early pregnancy cohort: pregnant, between 12-16 weeks gestation. - late pregnancy cohort: pregnant, between 30-36 weeks gestation - lactating nonpregnant: 5-7 months postpartum inclusive (up to 7 months and 31 days) with negative pregnancy test. - ability to provide informed consent to participate.","exclusion criteria: - presence of significant disease/illness that is either acute or chronic. this will be defined by history, physical examination, ultrasound (if pregnant) and laboratory assessment. in particular: 1. history of seizures or other neurologic disorder, chronic medical problem determined by history or physical examination, e.g., active hepatitis, renal disease, tuberculosis, heart disease. 2. grade 3 or higher laboratory abnormality of blood urea nitrogen (bun), creatinine, bilirubin, white blood cell count, or platelet count will warrant exclusion. grade 2 or higher abnormality of alanine aminotransferase (alt) or aspartate aminotransferase (ast) will warrant exclusion. for hemoglobin, women with severe anemia defined as hemoglobin less than 7.0 g/dl will be excluded. 3. if pregnant, with myoma on ultrasound that are sub-mucosal or women with myoma that are in any location and greater than 5 cm in size. 4. if pregnant, with congenital anomalies of the reproductive tract that would be expected to cause decreased fetal weight or greatly increase the risk of pre-maturity such as duplicate uterus, uterine septum. 5. for less clear cases, we will define significant illness as one that significantly alters a woman's ability to perform activities of daily living, causes symptoms at least two days per week, or necessitates regular use of medication. in the case of acute medical conditions, such as urinary tract infection, pneumonia, or febrile illness, enrollment may be postponed until the illness is successfully treated (not currently on any medication for the illness). - for lactating postpartum subjects: milk supply suspected to be marginal so that 24 hour interruption of nursing likely to lead to inability to restart breast feeding, evidence of breast infection, or history of breast surgery. - presence of cysts in the eye suggestive of neurocysticercosis. - regular use of a medication for a chronic medical condition. - history of severe allergic reaction (anaphylaxis, facial swelling, or difficulty breathing) or seizure with praziquantel administration. - if pregnant, fetus has congenital anomaly determined by ultrasound or is determined to be nonviable e.g., blighted ovum. - twin or higher order pregnancy. - woman has been enrolled into this study or its companion study (""""s. japonicum and pregnancy outcomes: a randomized, double blind, placebo controlled trial (rct). dmid protocol number: 06-0039"""") for a previous pregnancy. - inability to comprehend study procedures and provide informed consent due to limited cognitive abilities or other reason, or refuses to provide informed consent. - subjects receiving during the previous month any of the following drugs which may interact with praziquantel (pzq) bioavailability, metabolism and/or elimination: carbamazepine, chloroquine, cimetidine, dexamethasone, erythromycin, fosphenytoin, itraconazole, ketoconazole, phenobarbital, phenytoin, rifampin, or any protease inhibitor or non-nucleoside reverse transcriptase inhibitor. - subjects ingesting grapefruit juice during the previous week.",NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (NIAID),No,,,YES,2011,Government,Lower middle,False
NCT01214785,"ASSESSING THE EFFECT OF IMPROVED RURAL SANITATION ON DIARRHOEA AND INTESTINAL NEMATODE INFECTIONS: A CLUSTER RANDOMISED CONTROLLED TRIAL IN ORISSA, INDIA",Soil-Transmitted Helminthiases,Diarrhoea;Soil-transmitted Helminth Infection;Nutritional Status;Diarrhoea;Soil-transmitted Helminth Infection;Nutritional Status;Diarrhoea;Soil-transmitted Helminth Infection;Nutritional Status;Diarrhoea;Soil-transmitted Helminth Infection;Nutritional Status,IND,India;India;India;India;India,Single Country,Behavioral: Provision of household latrines;Behavioral: Provision of household latrines;Behavioral: Provision of household latrines;Behavioral: Provision of household latrines,ClinicalTrials.gov,2010-10-04,,INTERVENTIONAL,NOT APPLICABLE,RANDOMIZED,,OPEN LABEL,PREVENTION,PREVENTION,PARALLEL,Diarrhoea (<5s);Diarrhoea (<5s);Diarrhoea (<5s),Soil-transmitted helminth infection;Weight-for-age (<5s);lost days at school and work;healthcare expenditure;latrine coverage and use;bacteriological water quality;fly counts;Height-for-age;Diarrhoea (all ages),100.0,,,MALE AND FEMALE,INCLUDED,inclusion criteria: village level: - little existing sanitation coverage ( - wateraid and implementing partners expects normal scale up - stable and reasonably acceptable water supply - no other wash interventions planned or anticipated in next 30 months - reasonable year-round access by road to permit household visits by surveillance staff household level: - presence of a child - consent to participate - reside permanently in the village ; inclusion criteria: village level: - little existing sanitation coverage ( - wateraid and implementing partners expects normal scale up - stable and reasonably acceptable water supply - no other wash interventions planned or anticipated in next 30 months - reasonable year-round access by road to permit household visits by surveillance staff household level: - presence of a child - consent to participate - reside permanently in the village ; inclusion criteria: village level: - little existing sanitation coverage ( - wateraid and implementing partners expects normal scale up - stable and reasonably acceptable water supply - no other wash interventions planned or anticipated in next 30 months - reasonable year-round access by road to permit household visits by surveillance staff household level: - presence of a child - consent to participate - reside permanently in the village ; inclusion criteria: village level: - little existing sanitation coverage ( - wateraid and implementing partners expects normal scale up - stable and reasonably acceptable water supply - no other wash interventions planned or anticipated in next 30 months - reasonable year-round access by road to permit household visits by surveillance staff household level: - presence of a child - consent to participate - reside permanently in the village,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,No,,,YES,2010,Non-profit,Lower middle,False
NCT01132248,ACTIVITY OF MEFLOQUINE AGAINST URINARY SCHISTOSOMIASIS,Schistosomiasis,Urinary Schistosomiasis,GAB,Gabon,Single Country,Drug: Mefloquine;Drug: S/P,ClinicalTrials.gov,2010-05-27,,INTERVENTIONAL,PHASE II TRIAL,RANDOMIZED,,OPEN LABEL,,EFFICACY,PARALLEL,Reduction of egg excretion,Cure rate,65.0,,,FEMALE,INCLUDED,"inclusion criteria: - pregnant women after first trimester and before 28th week of pregnancy - hiv negative - egg excretion of schistosoma haematobium (mean >10 eggs per ml urine) - asymptomatic (no signs of complicated schistosomiasis, no severe anemia) - ability to comply with study protocol",exclusion criteria: - intake of anthelminthic or antimalarial drug within 2 months prior to inclusion - allergy to study drugs,ALBERT SCHWEITZER HOSPITAL,No,,,YES,2010,Non-profit,Upper middle,False
