trial_id,study_title,standardised_condition,original_condition,country_codes,countries,centre,intervention,source_register,date_registration,date_enrollment,study_type,phase,randomization,placebo,masking,primary_purpose,endpoint_classification,intervention_model,primary_outcome,secondary_outcome,target_sample_size,inclusion_age_min,inclusion_age_max,inclusion_gender,pregnant_participants,inclusion_criteria,exclusion_criteria,primary_sponsor,results_ind,results_date_completed,results_date_posted,retrospective_flag,Year,sponsor_category,income_level,results_posted
ACTRN12619001048178,"THE EFFECT OF HUMAN MASS PRAZIQUANTEL (PZQ) TREATMENT, SNAIL MOLLUSCICIDING AND BOVINE VACCINATION ON THE HUMAN INCIDENCE OF SCHISTOSOMIASIS AMONG INDIVIDUALS RESIDING IN ENDEMIC VILLAGES OF THE PHILIPPINES",Schistosomiasis,Schistosomiasis; <br>Schistosomiasis;Infection - Studies of infection and infectious agents;Public Health - Other public health,PHL,Philippines,Single Country,"A five year phase III cluster randomised control trial was conducted among 18 schistosomiasis- endemic barangay comprising 18,221 residents in Northern Samar, The Philippines. We examined the impact of a combination of human mass chemotherapy, snail control through mollusciciding and SjCTPI bovine vaccination on the human incidence of infection. Following the baseline survey, the interventions were implemented in 18 intervention groups from 2013 to 2017. The investigators, including the research team, and study participants were blind to the vaccine allocation. At baseline all residents (60 mg/kg directly observed split oral dose) and bovines (30 mg/kg directly feed oral dose) were treated with a directly observed oral dose of PZQ. Villages were then pair-matched for the RCT based on historical prevalence, baseline outcomes, and transmission ecology. One of three intervention ARMs (no specific intervention (control), human mass praziquantel (PZQ) treatment, mollusciciding) were randomly assigned to each pair to achieve three pairs per intervention type. Within each pair, one village was randomly assigned the active vaccine for vaccinating bovines and the other village received a placebo vaccine. The intervention matrix is shown below:Intervention---------Vaccinated Bovines-------Unvaccinated bovinesMollusciciding----------3 Villages (A)----------------3 Villages (B)Human treatment-----3 Villages (C)----------------3 Villages (C)Neither------------------3 Villages (D)----------------3 Villages (e) ControlsBovines received the priming SjCTPI DNA vaccine and then the protein boost or placebo control in VacSIM® six months later, in 2013 with subsequent booster vaccinations or placebo controls in VacSIM® given in 2014, 2015 and 2016. Full details of the production and formulation of the SjCTPI vaccines (plasmids encoding SjCTPI-HSP70 and UMVC3-mIL12 and recombinant SjCTPI), placebo control vaccine, the vaccination regimen, and the",ANZCTR,2019-07-25,2012-06-11,INTERVENTIONAL,PHASE III TRIAL,RANDOMIZED,,MASKING: BLINDED|UNSPECIFIED,,EFFICACY,,"The primary outcome was the human incidence of schistosomiasis. Collection of a human stool sample, which was tested for S. japonicum infection using the Kato Katz (KK) thick smear technique in order to determine the incidence and infection intensity (Geometric Mean Eggs per Gram (GMEPG)). [Assessed at baseline and 1 year (primary endpoint), 2 years, 3 years and 4 years.]","The secondary outcome was the human intensity of schistosomiasis infection. Collection of a human stool sample, which was tested for S. japonicum infection using the Kato Katz (KK) thick smear technique in order to determine infection intensity (Geometric Mean Eggs per Gram (GMEPG)). [Assessed at baseline and 1 year (primary endpoint), 2 years, 3 years and 4 years.]",20000.0,5Y,65Y,MALE AND FEMALE,,"inclusion criteria: individuals residing in endemic schistosomiasis villages in norther samar, the philippines and expect to be living there for the next five years.",exclusion criteria: outside the designated age range (5-65 years) and/or do not plan to resident in the study area on the next five years.,GRIFFITH UNIVERSITY,YES,27/11/2017,25/07/2019,NO,2019,Non-profit,Lower middle,True
NCT03158298,ASSOCIATION OF SCHISTOSOMIASIS SEROPOSITIVITY WITH ADVERSE BIRTH EVENTS IN MIGRANTS FROM BILHARZIA-ENDEMIC AREAS,Schistosomiasis,Schistosomiasis,DEU,Germany,Single Country,Other: Specimen collection,ClinicalTrials.gov,2017-05-16,2017-06-01,OBSERVATIONAL,Unknown,,,,,,,Schistosoma Serology,Birth Weight;Preterm Birth;Intrauterine Growth Restriction;Stillbirth,82.0,18Y,NO LIMIT,FEMALE,INCLUDED,inclusion criteria: - pregnancy - immigration from a country/geographic area with declared endemic schistosomiasis according to world health organization criteria - signed informed consent,exclusion criteria: - placenta pathology of any cause - any medical condition affecting fetal growth,JENA UNIVERSITY HOSPITAL,YES,,14/04/2022,YES,2017,Non-profit,High,True
NCT02806232,"OPEN-LABEL, DOSE-FINDING, 2-PARTS, EFFICACY PHASE II STUDY WITH THREE FORMULATIONS (RACEMATE RAZIQUANTEL COMMERCIAL ORAL TABLETS, NEW ORAL DISINTEGRATING TABLETS OF RACEMATE PRAZIQUANTEL AND L-PRAZIQUANTEL) IN SCHISTOSOMIASIS (S. MANSONI) INFECTED CHILDREN AGED 2-6 YEARS (PART 1), FOLLOWED BY AN ASSESSMENT OF EFFICACY AND SAFETY WITH THE SELECTED FORMULATION AND DOSAGE IN S. MANSONI INFECTED INFANTS AGED 3-24 MONTHS (PART 2)",Schistosomiasis,Schistosomiasis,DEU,Germany,Single Country,Drug: Biltricide (racemate praziquantel) oral tablets;Drug: Racemate Praziquantel ODT;Drug: Levo Praziquantel ODT,ClinicalTrials.gov,2016-06-16,2016-06-12,INTERVENTIONAL,PHASE II TRIAL,RANDOMIZED,,OPEN LABEL,TREATMENT,,PARALLEL,Number of Participants With Clinical Cure Determined by Kato-Katz Method,Egg Reduction Rate (Percent);Number of Participants With Clinical Cure Determined by Point-of-Care Circulating Cathodic Antigen (POC-CCA) Test,444.0,3M,6Y,MALE AND FEMALE,,"inclusion criteria: - male and female children aged 2 to 6 years (part 1) and 3 to 24 months (part 2) - s. mansoni positive diagnosis defined as positive egg counts in stool (greater than [>]1 egg/1 occasion) according to world health organization (who) classification : light (1-99 eggs per gram of faeces), moderate (100-399 eggs per gram of faeces) and heavy (greater than or equal to [>=]400 eggs per gram of faeces) infections - minimum weight of 8.0 kg in 2- to 6-year-old children and of 4.0 kg in 3- to 24-month infants • parents/legal representative ability to communicate well with the investigator, to understand the protocol requirements and restrictions, and willing their children to comply with the requirements of the entire trial, i.e. - to be examined by a study physician at screening and 14-21 days after treatment - to provide stool and urine samples at screening, 24 hours and 8 days after treatment, as well as 14-21 days after treatment - to provide finger prick blood samples for pharmacokinetics (pk) studies and blood samples for safety assessments","exclusion criteria: - treatment in the 4 weeks prior to study screening with praziquantel (pzq) , other anti-helminthic, antimalarial or anti-retroviral compounds or any other medication that might affect the pk of pzq such as certain antiepileptics (e.g., carbamazepine or phenytoin), glucocorticosteroids (e.g., dexamethasone), chloroquine, rifampicin or cimetidine - for children being breast fed, treatment of the mothers/wet nurses with pzq in the 3 days prior to administration of investigational medicinal product - previous history of adverse reactions associated with pzq treatment - marked increases of the liver transaminases (alanine aminotransferase and/or aspartate aminotransferase) above 3x upper limit of normal (uln) - history of acute or severe chronic disease including hepato-splenic schistosomiasis - fever defined as temperature above 38.0 degree centigrade - debilitating illnesses such as tuberculosis, malnutrition, etc. as well as a medical history of seizures - mixed s. haematobium and s. mansoni infections - findings in the clinical examination of schistosome-infected children participating in the study as performed by the study clinician on the treatment day, that in the opinion of the investigator constitutes a risk or a contraindication for the participation of the subject in the study or that could interfere with the study objectives, conduct or evaluation - unlikelihood to comply with the protocol requirements, instructions and trial-related restrictions, e.g., uncooperative attitude, inability to return for follow-up visits, and improbability of completing the trial","MERCK KGAA, DARMSTADT, GERMANY",YES,,20/11/2019,YES,2016,Industry,High,True
NCT02625974,"PROSPECTIVE, HISTORICALLY CONTROLLED STUDY TO EVALUATE THE EFFICACY AND SAFETY OF A NEW PEDIATRIC FORMULATION OF NIFURTIMOX IN CHILDREN AGED 0 TO 17 YEARS WITH CHAGAS' DISEASE",Chagas Disease,Chagas Disease,ARG|BOL|COL,Argentina;Bolivia;Colombia;Argentina;Bolivia;Colombia,Multi-Country,"Drug: Nifurtimox (Lampit, BAYA2502);Drug: Placebo",ClinicalTrials.gov,2015-12-07,2016-01-27,INTERVENTIONAL,PHASE III TRIAL,RANDOMIZED,,MASKING: BLINDED|QUADRUPLE,TREATMENT,,PARALLEL,Percentage of Participants Cured;Incidence Rate of Seronegative Conversion for Subjects Received at Least One Dose of the 60-day Nifurtimox Treatment Regimen.(Part 2),Nifurtimox Concentration Over Time in Plasma at Visit 8 (Part 1);Incidence of Seronegative Conversion Received at Least One Dose of the 30-day Nifurtimox Treatment Regimen. (Part 2);Proportion of Responders With Seronegative Conversion and no Evidence of Cardiomyopathy (Part 2);Antibody Titer in Plasma Over Time in All Subjects (Part 2);Number of Subjects With Clinical Signs/ Symptoms of Chagas Disease at Visit 1;Number of Subjects With Clinical Signs/ Symptoms of Chagas Disease at Visit 3;Number of Subjects With Clinical Signs/ Symptoms of Chagas Disease at Visit 6;Number of Subjects With Clinical Signs/ Symptoms of Chagas Disease at Visit 8;Number of Subjects With Clinical Signs/ Symptoms of Chagas Disease at Visit 9;Number of Subjects With Clinical Signs/ Symptoms of Chagas Disease at Visit 10;Number of Subjects With Clinical Signs/ Symptoms of Chagas Disease at Visit 11;Number of Subjects With Positive Results in Concentration Test for T. Cruzi (for Subjects <8 Months of Age);Number of Subjects With a Positive Serological Response Using Non-conventional Enzyme-linked Immunosorbent Assay-F29 (ELISAF29) Test;Number of Subjects With Positive Quantitative Polymerase Chain Reaction (qPCR) Results;Number of Subjects With Treatment-emergent Adverse Events (TEAEs) and Treatment-emergent Serious Adverse Events (TESAEs);Number of Subjects With Treatment-emergent High Blood Chemistry Abnormalities by Treatment (Part 1);Number of Subjects With Treatment-emergent Low Blood Chemistry Abnormalities by Treatment (Part 1);Number of Subjects With Treatment-emergent High Hematology Abnormalities by Treatment (Part 1);Number of Subjects With Treatment-emergent Low Hematology Abnormalities by Treatment (Part 1);Number of Subjects With Treatment-emergent High Coagulation Abnormalities by Treatment (Part 1);Number of Subjects With Treatment-emergent Low Coagulation Abnormalities by Treatment (Part 1);Number of Subjects With Abnormal Urinalysis Findings Considered as Clinically Significant or Reported as Adverse Events (AEs);Number of Subjects With Abnormal ECG Findings Considered as Clinically Significant by Investigators (Part 1);Mean Changes in Vital Signs (Systolic Blood Pressure) Between the Treatment Groups From Baseline (Part 1);Mean Changes in Vital Signs (Diastolic Blood Pressure) Between the Treatment Groups From Baseline (Part 1);Mean Changes in Vital Signs (Respiratory Rate) Between the Treatment Groups From Baseline (Part 1);Mean Changes in Vital Signs (Heart Rate) Between the Treatment Groups From Baseline (Part 1);Mean Changes in Vital Signs(Temperature) Between the Treatment Groups From Baseline (Part 1);Nifurtimox Concentration Over Time in Plasma at Visit 2 (Part 1);Nifurtimox Concentration Over Time in Plasma at Visit 3 (Part 1);Nifurtimox Concentration Over Time in Plasma at Visit 6 (Part 1),330.0,0Y,17Y,MALE AND FEMALE,,inclusion criteria: part 1: - male and female pediatric subjects aged 0 days to younger than 18 years - chagas' disease diagnosed/ confirmed for a) subjects randomization must demonstrate direct observation of trypanosoma cruzi by concentration test; b) subjects = 8 months to demonstrate a positive conventional elisa result for both recombinant elisa and total purified antigen elisa part 2: - male and female subjects who were randomized and received at least one dose of their assigned 60- or 30-day regimen of nifurtimox treatment,"exclusion criteria: part 1: - subjects aged 0 to 27 days who, at birth, were pre-term, weighed less than 2500 g, or had a maximum apgar score - known evidence of chagas' disease-related cardiomyopathy/ chagas' heart disease - known evidence of chagas' disease-related gastrointestinal dysfunction (e.g. megaoesophagus, megacolon, or both) or chagas' digestive disease - serious manifestations of acute chagas' disease, including myocarditis, meningoencephalitis, or pneumonitis - known evidence of chagas' disease-related damage to the peripheral nervous system or peripheral neuropathy - clinically significant psychiatric disorder (e.g. moderate to severe depression, severe anxiety, or psychosis) or epilepsy - subjects with contraindications/ warnings to nifurtimox administration, or with conditions that may increase the risk of the undesirable effects of nifurtimox - subjects who have had previous treatment with trypanocidal agents or an accepted indication for antiparasitic therapy (e.g. reactivation of chagas' infection due to immunosuppression by several diseases or treatment with steroids) - subjects living in housing conditions where there is no active or effective vector control to trypanosoma cruzi reinfection as determined by ministry of health guidelines in each country part 2: - subjects with acute or chronic health conditions or congenital disorders which, in the opinion of the investigator, would make them unsuitable for participation in the clinical study - subjects living in housing conditions where there is no active or effective vector-control to trypanosoma cruzi reinfection as determined by ministry of health guideline of the respective country - subjects with clinical manifestations of chagas' disease-related gastrointestinal dysfunction or serious manifestations of acute chagas' disease - immuno-compromised subjects (e.g. with human immunodeficiency virus or treated with immunosuppressive drugs)",BAYER,YES,,29/10/2019,YES,2015,Other,Upper middle,True
ISRCTN15280205,DOSE-FINDING AND PHARMACOKINETIC STUDIES OF PRAZIQUANTEL IN SCHOOL-AGED AND PRESCHOOL-AGED CHILDREN INFECTED WITH SCHISTOSOMA MANSONI AND SCHISTOSOMA HAEMATOBIUM,Schistosomiasis,Schistosomiasis <br>Infections and Infestations,CIV,Cote d'Ivoire,Single Country,"Children will be randomized using a computer-generated stratified block randomization code to 4 treatment arms: Praziquantel (20, 40 and 60 mg/kg) (single oral dose) and placebo",ISRCTN,2014-11-28,2014-11-15,INTERVENTIONAL,PHASE II TRIAL,RANDOMIZED,,MASKING: BLINDED|SINGLE,,,,Cure rate (21 days post-treatment),"1. Egg reduction rate (21 days post-treatment)2. Safety (2h, 24h, 48, 72 h post-treatment)3. Pharmacokinetic parameters (sampled within 24 hours post-treatment)",640.0,NOT SPECIFIED,NOT SPECIFIED,MALE AND FEMALE,,"inclusion criteria: 1. written informed consent signed by parents and/or legal guardian; and oral assent by children2. able and willing to be examined by a study physician at the beginning of the study and 3 weeks after treatment3. able and willing to provide two stool and urine samples at the beginning of the study and 3 weeks after treatment4. able and willing to provide 11 finger prick blood samples for pk studies5. infected with s. mansoni (study 1) or s. haematobium (study 2), as assessed by the presence of egg(s) in the stool (s. mansoni) or urine (s. haematobium)6. absence of major systemic illnesses (e.g. clinical malaria or hepato-splenic schistosomiasis) as assessed by a medical doctor, upon initial clinical assessment7. no known allergy to study medications","exclusion criteria: 1. no written informed consent by parents and/or legal guardian2. presence of any abnormal medical condition, judged by the study physician3. history of acute or severe chronic disease such as liver or renal disease4. recent use of anthelminthic drug (within past 4 weeks)5. administration of any investigational product or use of any investigational device within 30 days prior to praziquantel administration. subjects who have used drugs that may affect the pharmacokinetics of praziquantel from 15 days before dosing until the last pk sample, e.g., phenytoin, barbiturates, primidone, carbamazapine, oxcarbazepine, topiramate, felbamate, rifampicin, nelfinavir, ritonavir, griseofulvin, oral ketoconazole6. consumption of substances known to be potent inhibitors or inducers of cyp p450s such as grapefruit juice, grapefruit juice containing products, and herbal remedies or dietary supplements containing st. john?s wort, in the two weeks before dosing7. attending other clinical trials during the study8. negative diagnostic result for schistosoma",EUROPEAN RESEARCH COUNCIL,YES,01/08/2015,,YES,2014,Government,Upper middle,True
ISRCTN67590499,RIFAXIMIN IN PATIENTS WITH PORTAL HYPERTENSION DUE TO SCHISTOSOMIASIS IN ZAMBIA: AN OPEN-LABEL TRIAL,Schistosomiasis,"Schistosomiasis, oesophageal varices, portal hypertension <br>Infections and Infestations <br>Schistosomiasis [bilharziasis]",ZMB,Zambia,Single Country,"One group of 40 Zambian adults with bilharzia of the liver in addition to receiving standard care will receive rifaximin 600 mg orally twice per day for 42 days while the other group will not receive rifaximin but will continue on the usual standard care. Standard care includes being treated for schistosomiasis with praziquantel and receiving long-term beta blockers (e.g., propranolol) to prevent variceal bleeding. In some instances variceal banding is done as part of standard care. In addition to checking markers that measure leakage of bacteria into the bloodstream, we are going to measure other markers that indicate inflammation and those that measure scarring of the liver. These markers will be measured in blood samples. These patients will be asked to give blood samples on days 0, 42 and 90 during routine follow-up visits.",ISRCTN,2014-09-30,2014-01-10,INTERVENTIONAL,NOT APPLICABLE,,,OPEN LABEL,,,,Changes in markers of translocation,"1. Changes in markers of fibrosis 2. Changes in inflammatory markers 3. Re-bleeding episodes 4. Death Baseline information will be captured using a questionnaire and blood will be collected for baseline markers of translocation, fibrosis and inflammation. These will be measured using ELISA. Then these patients will be followed up on day 42, day 90 and thereafter for 3 months, making a total of 6 months. At each visit the questionnaire will be administered and blood will be collected for the above assays",80.0,NOT SPECIFIED,NOT SPECIFIED,MALE AND FEMALE,,inclusion criteria: 1. oesophageal varices 2. schistosomiasis seropositive,exclusion criteria: 1. hiv seropositive 2. cirrhosis 3. hepatitis virus b or c infection,UNIVERSITY OF ZAMBIA (ZAMBIA),YES,31/08/2016,,NO,2014,Non-profit,Lower middle,True
ISRCTN75636394,"HELMINTH INFECTION AND TYPE 2 DIABETES MELLITUS IN INDONESIA: INTEGRATING PARASITOLOGICAL, IMMUNOLOGICAL, BEHAVIORAL AND METABOLIC STUDIES",Soil-Transmitted Helminthiases,"Soil-transmitted helminth infection <br>Infections and Infestations <br>Helminthiasis, unspecified",IDN,Indonesia,Single Country,"Households are randomized to two groups: 1. 400 mg albendazole 2. Placebo Given orally for 3 consecutive days, every 3 months. Patients are followed up for one year.",ISRCTN,2013-11-12,2014-04-01,INTERVENTIONAL,NOT APPLICABLE,RANDOMIZED,YES,MASKING: BLINDED|DOUBLE,,,,"Changes in insulin resistance as assessed by HOMA-IR (Homeostatic Model of Assessment-Insulin Resistance), one year post treatment","Energy metabolism and immunological parameters related to energy metabolism, measured one year post treatment. 1. Changes in body mass index and waist circumference measured by SECA tools 2. Changes in serum fasting blood glucose and HBA1c using a glucose meter 3. Changes in serum lipid levels, measured by commercial enzymatic kits 4. Changes in helminth load, measured by polymerase chain reaction (PCR) 5. Changes in immune polarization: FACS, intracellular staining, enzyme-linked immunosorbent assay (ELISA)",1580.0,16Y,NO LIMIT,MALE AND FEMALE,,"inclusion criteria: 1. those who have given informed consent 2. both males and females 3. aged 16 years or older 4. live in nangapanda area, flores island 5. good health, without any serious clinical condition",exclusion criteria: 1. subjects younger than 16 years 2. active treatment for diabetes mellitus 3. serious concomitant disease 4. pregnant women 5. no informed consent,THE ROYAL NETHERLANDS ACADEMY OF ARTS AND SCIENCES (NETHERLANDS),YES,01/10/2015,,YES,2013,Non-profit,Lower middle,True
NCT01662362,ABBOTT ESA CHAGAS ASSAY POST-MARKET STUDY,Chagas Disease,Chagas Disease;Chagas Disease;Chagas Disease;Chagas Disease,USA,United States;United States;United States;United States,Single Country,Device: Testing Donor Specimens with ESA Chagas;Device: Testing Donor Specimens with ESA Chagas;Device: Testing Donor Specimens with ESA Chagas;Device: Testing Donor Specimens with ESA Chagas,ClinicalTrials.gov,2012-08-08,,INTERVENTIONAL,NOT APPLICABLE,,,,,,,ESA Chagas Testing of US Blood Donor Specimens Repeatedly Reactive by ABBOTT PRISM Chagas;ESA Chagas Testing of US Blood Donor Specimens Repeatedly Reactive by ABBOTT PRISM Chagas,ESA Testing of Preselected Donor Specimens Nonreactive by ABBOTT PRISM Chagas,63.0,17Y,NO LIMIT,MALE AND FEMALE,,prism chagas repeatedly reactive donor specimens inclusion criteria: - blood donor specimen documented as prism chagas repeatedly reactive,exclusion criteria: ; prism chagas repeatedly reactive donor specimens,ABBOTT DIAGNOSTICS DIVISION,YES,,20/02/2014,YES,2012,Industry,High,True
NCT01905423,OPTIMIZATION OF MASS DRUG ADMINISTRATION WITH EXISTING DRUG REGIMENS FOR LYMPHATIC FILARIASIS AND ONCHOCERCIASIS,Soil-Transmitted Helminthiases,Lymphatic Filariasis;Soil Transmitted Helminth Infections,IDN,Indonesia,Single Country,Drug: Albendazole (annual);Drug: Diethylcarbamazine (annual);Drug: Albendazole (semiannual);Drug: Diethylcarbamazine (semiannual),ClinicalTrials.gov,2012-04-11,,OBSERVATIONAL,Unknown,,,,,,,Prevalence of Microfilaria in Blood as Determined by Microscopy of Participant Blood,Prevalence of Positive Brugia Rapid Antifilarial Antibody Tests;Prevalence of Circulating Filarial Antigen in Blood as Determined by ICT Card Test;Prevalence of Ascaris Infection;Prevalence of Hookworm Infection;Prevalence of Trichuris Infection,17108.0,5Y,NO LIMIT,MALE AND FEMALE,,inclusion criteria: - areas should be endemic for filariasis and have limited or no prior experience with mda. males and females greater than or equal to 5 years of age.,exclusion criteria: - children less than 5 years of age.,WASHINGTON UNIVERSITY SCHOOL OF MEDICINE,YES,,16/10/2017,NO,2012,Non-profit,Lower middle,True
NCT01377480,"PHASE 2 PROOF-OF-ACTIVITY STUDY OF ORAL POSACONAZOLE IN THE TREATMENT OF ASYMPTOMATIC CHRONIC CHAGAS DISEASE (PHASE 2, PROTOCOL NO. P05267)",Chagas Disease,Chagas Disease,ARG|DEU|ESP|MEX|CHL|COL|GTM,Argentina;Chile;Colombia;Germany;Guatemala;Mexico;Spain,Multi-Country,Drug: Posaconazole;Drug: Placebo for posaconazole;Drug: Benznidazole,ClinicalTrials.gov,2011-05-13,2011-07-06,INTERVENTIONAL,PHASE II TRIAL,RANDOMIZED,,MASKING: BLINDED|DOUBLE,TREATMENT,,PARALLEL,Percentage of Participants With a Successful Response as Measured by Qualitative Polymerase Chain Reaction,,120.0,18Y,50Y,MALE AND FEMALE,,"inclusion criteria: - must have a positive serology result for trypanosoma cruzi on any 2 of 3 of the following tests: indirect immunofluorescence, indirect hemagglutination, or enzyme-linked immunoabsorbent assay (elisa) - must have a positive qualitative polymerase chain reaction (pcr) for trypanosoma cruzi - must have a normal 12-lead electrocardiogram (ecg) - must have a normal 2-d echocardiogram - must have no evidence of ventricular tachycardia on 24-hour holter monitoring - female participants of childbearing age must be using a medically accepted method of birth control before beginning study drug treatment and must agree to continue its use during the study, or must have been surgically sterilized - female participants of childbearing potential must have a negative serum beta-human chorionic gonadotropin (hcg) pregnancy test at screening and a negative urine pregnancy test at baseline or within 72 hours before the start of study drug","exclusion criteria: - are breastfeeding, pregnant, or planning to become pregnant - body weight - have an immunodeficiency or are immunosuppressed - history of megacolon with obstipation or megaesophagus with severe swallowing impairment. - have previously received treatment with benznidazole or nifurtimox - known allergy/sensitivity to azoles - has aspartate aminotransferase (ast) or alanine aminotransferase (alt) levels greater than 2.5 times the upper limit of normal at screening - has serum creatinine >2.5 mg/dl or 200 micromoles at screening - has a history of severe alcohol abuse within two years from screening - is taking any of the prohibited medication",MERCK SHARP & DOHME CORP,YES,,10/08/2015,YES,2011,Industry,Upper middle,True
